topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
25,1295,Machine Learning,"learning, neural networks, classification",3.605526946870441e-05,5.258060130852726e-06,0.6533333333333333,increasing,,0.9532049894332886,0.0635469992955525,0.1800422063788905,logit,0.6427424306936718,3.2925052105319996e-64,5.926509378957601e-63
33,990,Optimization Algorithms,"metaheuristic, bin packing, combinatorial optimization",0.0602477604315481,0.0376548502697176,-0.3,decreasing,,1.7658596634864807,0.0802663483402945,0.2550907757909156,logit,-0.1663649600770479,3.4823566016033225e-07,8.954631261265686e-07
10,787,Computer Vision and Pattern Recognition,"convolutional neural networks, butterfly species identification, image classification",0.0369242075878797,0.0183315749609991,0.34,increasing,,1.1827834248542786,0.0695754955796634,0.2048608011795834,logit,0.1719746594865734,1.237051574321568e-05,2.968923778371763e-05
9,711,Computer Systems,"hardware, networks, os, distributed",3.9026893716709317e-08,8.130602857647772e-10,-0.88,decreasing,,2.478592872619629,0.1077649075052012,0.34688185553765,logit,-0.6357021473142037,7.191133994228294e-67,2.588808237922186e-65
26,645,Medical Diagnosis with Machine Learning,"liver transplantation, machine learning, deep learning, medical diagnosis",9.73321141017891e-07,4.0555047542412126e-08,0.7866666666666666,increasing,,0.5501973032951355,0.0550197303295135,0.1367188937653507,logit,0.6610194234391724,1.2612677411712852e-34,1.1351409670541568e-33
14,596,Data Mining Techniques,"data mining, genetic algorithms, machine learning",0.0369242075878797,0.0207698667681823,-0.3333333333333333,decreasing,,1.3613829612731934,0.0756323867373996,0.2265743818751449,logit,-0.3075073368748601,1.2986053758596696e-14,4.249981230086192e-14
48,516,Wireless Sensor Networks Security,"wireless sensor networks, data security, electronic devices",0.0004656322796474,0.0001164080699118,-0.5533333333333333,decreasing,,1.2596699595451355,0.0699816644191742,0.2096463306575451,logit,-0.5225891159112646,1.1984680925462836e-34,1.1351409670541568e-33
17,507,Education Technology,"primary school directing program, student guidance",0.0006269965773627,0.0001698115730357,-0.54,decreasing,,1.4486872553825378,0.0804826252990298,0.2411043980686567,logit,-0.3120697874490125,2.701729671060134e-13,7.48171293524345e-13
31,469,Natural Language Semantics,"semantics, NLP, machine translation",0.4577402517721091,0.3623776993195864,0.1333333333333333,no_trend,,0.6511645317077637,0.0500895793621356,0.1356450954647566,logit,0.0547431867427913,0.2599520205679451,0.311942424681534
27,467,Medical Image Segmentation,"polyp detection, colorectal cancer, deep learning",2.575296741191835e-06,2.1460806176598626e-07,0.7433333333333333,increasing,,0.8426801562309265,0.0766072869300842,0.1964938113881911,logit,0.4732152130258944,4.711961534934741e-16,1.8847846139738965e-15
39,442,Sentiment Analysis,"emotional analysis, Internet usage, customer interaction",2.027722214137384e-06,1.267326383835865e-07,0.7566666666666667,increasing,,0.5177194476127625,0.0431432873010635,0.1138576085755686,logit,0.5937705988366967,2.348554828140127e-21,1.4091328968840763e-20
35,371,Real-Time Malware Detection,"malware detection, deep learning, cybersecurity",0.0001905871679452,4.367622598744347e-05,0.5866666666666667,increasing,,0.2549187541007995,0.0364169648715427,0.0800162502477435,logit,0.6245269245333838,1.364759032385313e-19,6.141415645733907e-19
34,362,Privacy and Information Security on Social Media,"social networks, information spreading, privacy issues",0.7972523796379414,0.7972523796379414,0.04,no_trend,,1.2444716691970823,0.1131337881088256,0.2901824371169221,logit,-0.0299698199807842,0.5732168700951696,0.6069355095125326
22,361,Image Processing Techniques,"swarm intelligence, image segmentation, artificial bee colony",0.7415439950630088,0.7260951618325295,-0.0533333333333333,no_trend,,0.8577848672866821,0.0857784867286682,0.2131515320808193,logit,-0.0892987790887039,0.0918694618049084,0.1224926157398779
24,280,Internet of Things Security,"NFC, virtual cash, shopping architecture, security",2.8197964967446865e-05,3.524745620930858e-06,0.6533333333333333,increasing,,0.2915863394737243,0.0416551913533891,0.0915258102153099,logit,0.9695906127751824,1.5735295872499802e-24,1.132941302819986e-23
3,254,Autonomous Robot Path Planning,"autonomous robot, path planning, energy efficiency, industrial cleaning",0.6858024960634375,0.6572273920607943,0.0666666666666666,no_trend,,0.5361770391464233,0.0893628398577372,0.1858248014826613,logit,0.0439383612675344,0.4966335587813376,0.5417820641250957
37,182,Requirements Engineering,"requirements elicitation, creativity trigger, large language models",0.0158778190895285,0.0062849700562717,-0.3933333333333333,decreasing,,,,,logit,-0.2949930621543922,2.7588328989376985e-05,6.207374022609822e-05
43,180,Software Testing Automation,"software testing, automation, manual testing",0.589744150920611,0.5283124685330474,0.0933333333333333,no_trend,,0.0695300698280334,0.0695300698280334,0.0763865891450293,logit,-0.0033658558116545,0.9642223786935152,0.9642223786935152
4,176,Bioinformatics and Computational Biology,"miRNA, computational biology, bioinformatics",0.3910276355970164,0.2932707266977623,-0.1533333333333333,no_trend,,0.0794955492019653,0.0794955492019653,0.0873347872476994,logit,-0.2724697299521844,0.0001808849537199,0.0003255929166959
47,170,Web Search and Information Retrieval,"web crawler, ranking algorithm, web search engine",5.918173951021307e-05,1.0143621907321432e-05,-0.6333333333333333,decreasing,,,,,logit,-0.5777611342887022,1.3448870415517537e-15,4.841593349586313e-15
15,168,Database Systems Optimization,"database optimization, index selection, clustering",1.2815536241816973e-05,1.3349516918559343e-06,-0.6933333333333334,decreasing,,,,,logit,-0.6642709346477851,9.598380429809764e-20,4.936309935330735e-19
1,152,Artificial Intelligence Overview,"AI, automation, routine tasks, digitalized world",0.0228740337163351,0.0095308473818063,-0.3733333333333333,decreasing,,0.1042482852935791,0.1042482852935791,0.114528447296105,logit,-0.2021195254067153,0.0095602426566739,0.0149638580713157
36,151,Remote Sensing and Geographic Information Systems,"remote sensing, satellite imagery, geographic information systems (GIS), spatial analysis",0.4577402517721091,0.3623776993195864,-0.1333333333333333,no_trend,,,,,logit,-0.1495033070966074,0.0598188627132181,0.0828261176029174
6,150,Biometric Identification and Verification Systems,"hand geometry, feature vectors, low-pass filter",0.589744150920611,0.5283124685330474,-0.0933333333333333,no_trend,,0.0706030130386352,0.0706030130386352,0.0775653377412394,logit,-0.1585020866898616,0.0447287297005516,0.0644093707687944
