topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
31,1001,Natural Language Processing,"Artificial Neural Networks, deep learning, representation learning, Natural Language Processing",0.0002543784997344,7.913997769515291e-05,0.5666666666666667,increasing,,0.6558541655540466,0.0364363425307803,0.1091535272497266,logit,0.2398229696888144,2.9000021302642434e-11,7.793755725085154e-11
28,935,Medical Image Analysis,"content-based image retrieval, database management system, digital mammography",7.753368946872287e-08,3.44594175416546e-09,0.8466666666666667,increasing,,0.7215954065322876,0.0515425290380205,0.1429062347265322,logit,0.5232934459652085,4.842803899179247e-35,1.0412028383235379e-33
27,926,Machine Learning,"learning, neural networks, classification",7.201207017776268e-05,1.9203218714070047e-05,0.6133333333333333,increasing,,1.1455432176589966,0.0715964511036872,0.2069403602356914,logit,0.3561377353057557,9.987788828500905e-20,1.073687299063847e-18
6,672,Computer Systems,"hardware, networks, os, distributed",6.561217569256429e-08,1.4580483487236504e-09,-0.8666666666666667,decreasing,,2.837205410003662,0.1182168920834859,0.3851620468328646,logit,-0.5626584832283344,4.074426146928873e-51,1.7520032431794154e-49
10,641,Cyber Security Awareness,"social engineering, cyber security, awareness campaigns",0.2041643538961701,0.1542575118326619,0.2066666666666666,no_trend,,0.6191281080245972,0.0515940090020497,0.136159547621095,logit,0.2346548764520568,1.0673893967091487e-07,2.415670739920705e-07
7,638,Computer Vision,"monocular depth estimation, self-supervised learning, image analysis",0.0006909522940726,0.0002456719267813,0.5266666666666666,increasing,,0.7923345565795898,0.0660278797149658,0.1742513599207351,logit,0.3269707679101985,1.5801283302452434e-12,5.226578323118882e-12
24,466,Image Processing and Computer Vision,"texture classification, random neural network, image processing",0.6488277238251638,0.5911541483740381,-0.08,no_trend,,1.0080199837684631,0.0775399987514202,0.2099822092122487,logit,-0.0635766251344002,0.1759038167187557,0.2044287599704458
48,447,Wireless Sensor Networks (WSN) Optimization,"wireless sensor networks, WSNs, Moth-Flame Algorithm, routing protocol",0.145914824555545,0.0972765497036967,-0.24,no_trend,,1.4172303676605225,0.0833664922153248,0.2454675492351781,logit,-0.3476932487898954,3.9842805364700365e-14,1.713240630682116e-13
14,432,Discrete Optimization,"discrete optimization, algorithms, problem-solving",0.0317277258940369,0.0183315749609991,-0.34,decreasing,,1.0588935613632202,0.0756352543830871,0.2097054533062844,logit,-0.166712447858968,0.0005283821090242,0.0009466846120018
23,395,Human-Computer Interaction,"EEG signals, emotional states, brain computer interfaces",0.0844824172106306,0.0525668373755034,0.28,no_trend,,1.0833154916763306,0.0902762909730275,0.2382443073828481,logit,0.0880188985006383,0.0963891774060967,0.1151315174572822
41,374,Software Engineering,"defect prediction, embedded systems, naive Bayes algorithm",0.5554696597987266,0.4690632682744802,-0.1066666666666666,no_trend,,1.019664645195007,0.0849720537662506,0.2242461213042855,logit,-0.1353403458378417,0.0079913440916372,0.01145425986468
