topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
33,951,Machine Learning,"learning, neural networks, classification",0.0003880268997062,0.0001164080699118,0.5533333333333333,increasing,,0.7610187530517578,0.0585399040809044,0.1585289990187973,logit,0.4922568930688029,2.228065136301877e-33,2.89648467719244e-32
37,883,Natural Language Processing (NLP),"information retrieval, bag-of-words, natural language",0.0559356861718581,0.0335614117031148,0.3066666666666666,increasing,,0.8375198245048523,0.0418759912252426,0.1294404666536852,logit,0.0692737991326751,0.054771101574471,0.0762883200501561
8,833,Computer Vision,"depth information, computer vision, object recognition",0.0009276232403262,0.0003524968313239,0.5133333333333333,increasing,,1.2155267000198364,0.0715015705894021,0.2105320115150564,logit,0.258451343981292,7.498689018044113e-11,3.2494319078191156e-10
40,817,Optimization Algorithms,"artificial bee colony algorithm, numerical optimization",0.7209196931390709,0.5911541483740381,-0.08,no_trend,,1.5555843114852903,0.0818728584992258,0.2492637547414478,logit,-0.0893820580151,0.0130298865422097,0.0203266230058472
3,644,Biomedical Data Analysis,"biomedical data, signal processing, image analysis",5.257640941502828e-05,4.206112753202262e-06,0.66,increasing,,0.9113012552261353,0.0650929468018668,0.1804759702002099,logit,0.2715626388403556,1.639711653964027e-09,4.919134961892081e-09
7,642,Computer Systems,"hardware, networks, os, distributed",4.065301428823887e-08,8.130602857647772e-10,-0.88,decreasing,,2.4939489364624023,0.108432562454887,0.3490309539145472,logit,-0.6006681187807622,2.4433266003003614e-55,9.528973741171411e-54
32,629,IoT and Network Management,"6LoWPAN, IoT management, low-power devices",0.2763318487394476,0.1989589310924022,0.1866666666666666,no_trend,,1.0266902446746826,0.060393543804393,0.1778251044676509,logit,0.03638376637204,0.3866854522694012,0.4075873686082877
13,601,Cybersecurity AI Applications,"cyber security, intrusion detection, machine learning",0.0108972091532972,0.0054486045766486,0.4,increasing,,0.3967174887657165,0.0396717488765716,0.0985805925921125,logit,0.3900920701454153,1.0726111035899582e-15,5.975976148572625e-15
19,570,E-Learning Systems,"e-learning, education system, online learning",0.0008182781738481,0.0002945801425853,-0.52,decreasing,,1.709166169166565,0.0813888651984078,0.2551943160706451,logit,-0.2399783534192949,3.727920205994064e-09,1.0384920573840608e-08
11,533,Cryptographic Security,"lattice-based cryptography, shortest vector problem (SVP), closest vector problem (CVP)",0.0003043845295967,7.913997769515291e-05,-0.5666666666666667,decreasing,,1.4082894921302795,0.0741204995858041,0.2256615240842505,logit,-0.2611530178158612,6.384676612638582e-10,2.2636580717536795e-09
34,473,Medical Imaging and Machine Learning,"medical imaging, machine learning, diagnostics",1.75747417507921e-05,1.054484505047526e-06,0.7,increasing,,0.3731288909912109,0.0466411113739013,0.1073951277702203,logit,0.856376541438655,2.048559010011439e-34,3.9946900695223056e-33
46,379,Social Media Sentiment Analysis,"social media mining, emotional analysis, sentiment classification",0.0005800838654188,0.000185626836934,0.5366666666666666,increasing,,0.5444560050964355,0.0494960004633123,0.1269547345852888,logit,0.3693331670758434,1.0896191908935723e-09,3.5412623704041107e-09
14,334,Data Visualization and Analytics,"data visualization, analytics, decision support",0.0002425361263945,5.3357947806809136e-05,-0.58,decreasing,,0.7541880011558533,0.0942735001444816,0.2170727560970555,logit,-0.4663129187623677,2.4404881616155963e-19,1.5863173050501377e-18
29,323,Human-Robot Interaction,"gesture recognition, humanoid robot, sign language tutoring",0.4041686607745349,0.3152515554041373,0.1466666666666666,no_trend,,1.0827377438545227,0.1082737743854522,0.269050221968056,logit,0.0558152847438282,0.3346102234239465,0.3838176092215857
30,311,Image Processing,"pornographic web content, skin color information, image filtering",0.8276321045069138,0.7614215361463608,-0.0466666666666666,no_trend,,0.8313953280448914,0.1039244160056114,0.2392948110926326,logit,-0.0951313624414399,0.0916070383291509,0.1190891498278961
15,225,Database Optimization,"query processing, XML databases, relational databases",4.768113914810357e-06,1.907245565924143e-07,-0.7466666666666667,decreasing,,0.2711588144302368,0.1355794072151184,0.187952967706296,logit,-0.6396901119829744,3.76429082760241e-24,3.67018355691235e-23
38,185,Network Bandwidth Optimization,"bandwidth optimization, IPSEC, active networks",0.0108972091532972,0.0054486045766486,-0.4,decreasing,,,,,logit,-0.3459693903680614,7.046538571638021e-07,1.6165588487875462e-06
42,164,Remote Sensing and Image Processing,"remote sensing, image classification, deep learning",0.7468493091599935,0.6572273920607943,-0.0666666666666666,no_trend,,0.0589725971221923,0.0589725971221923,0.0647880198931141,logit,-0.0050399940846354,0.9492915403042688,0.9492915403042688
49,156,Video Analysis,"video analysis, temporal segmentation, video summarization",0.2203678740466598,0.1542575118326619,-0.2066666666666666,no_trend,,,,,logit,-0.1964680975981327,0.0123652141665084,0.0200934730205762
2,155,Bioinformatics,"bioinformatics, genomics, data mining, spoilage yeasts",0.1473887116722677,0.0972765497036967,-0.24,no_trend,,,,,logit,-0.3140872120082246,4.988362574130436e-05,9.72730701955435e-05
27,141,Health Informatics,"data mining, nephrology, diagnosis",0.3583456739883028,0.2723427122311102,-0.16,no_trend,,,,,logit,-0.2037300402687668,0.0119948544280065,0.0200934730205762
4,141,Biometric Security,"fingerprint recognition, gender identification, security",0.8682455253211935,0.8335157043083457,0.0333333333333333,no_trend,,0.0718154311180114,0.0718154311180114,0.0788973151422455,logit,-0.0990552739677999,0.2309621231536164,0.28148508759347
41,138,Recommendation System Security,"recommendation system, collaborative filtering, segment attack",0.0016369813253903,0.0006875321566639,0.4866666666666667,increasing,,,,,logit,0.2229932329572539,0.0184034235486279,0.0276051353229419
23,126,Financial Market Prediction with Machine Learning,"machine learning, financial markets, stock price prediction, sentiment analysis",0.0008125692026304,0.0002762735288943,0.52,increasing,,0.1307761073112487,0.0653880536556243,0.0906470900673969,logit,0.5152371327289023,3.43925057572342e-06,7.059514339642809e-06
0,112,Agile Software Maintenance,"agile, software maintenance, quality assurance",0.9441419998013072,0.944141999801307,-0.0133333333333333,no_trend,,,,,logit,-0.0969617831511849,0.2915574593503508,0.34456790650496
21,112,Face Recognition Techniques,"face recognition, biometric identification, machine learning",0.8481408294020654,0.7972523796379414,-0.04,no_trend,,,,,logit,-0.0823030650842519,0.3703473773536231,0.4045296414516747
48,107,Vehicle Tracking,"GPS, vehicle tracking, digital maps",0.8067724020361439,0.7260951618325295,-0.0533333333333333,no_trend,,,,,logit,-0.1701927809091032,0.0675391332075361,0.0908284894859968
35,106,Mobile Systems,"mobile application testing, user interaction, sensors",6.559318429966154e-05,6.559318429966154e-06,-0.6466666666666666,decreasing,,,,,logit,-0.4834651950266735,7.835501549637248e-08,2.0372304029056845e-07
45,104,Sensor Data Analysis,"sensor technology, scene analysis, machine learning",0.7445786216867947,0.6403376146506434,-0.07,no_trend,,,,,logit,-0.2061395443563568,0.0304799600479144,0.0440266089580987
18,101,Digital Transformation Architecture,"digital transformation, corporate architecture, project management",0.5863290853431002,0.4690632682744802,-0.1066666666666666,no_trend,,,,,logit,-0.1276078954244428,0.1854384942534948,0.2332935895447192
44,100,Semantic Web Agents,"ontology management, semantic web, linked data",0.0003718222334565,0.0001041102253678,-0.5566666666666666,decreasing,,,,,logit,-0.9039388027655456,6.5506181847067e-20,5.109482184071226e-19
