topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
32,1261,Machine Learning,"learning, neural networks, classification",1.568568237930723e-05,1.3349516918559343e-06,0.6933333333333334,increasing,,0.8170954585075378,0.0583639613219669,0.1618192609465244,logit,0.7434981477131698,7.566485955717036e-76,2.7239349440581336e-74
15,1027,Computer Vision and Image Processing,"circle detection, deep learning, medical imaging",0.1091597775418046,0.0650313568334155,0.2666666666666666,no_trend,,1.3324711918830872,0.0634510091372898,0.1989502721448399,logit,0.1019983568133982,0.0026615025546962,0.0045625758080507
34,954,Medical Imaging and Computer-Aided Diagnosis,"medical wound images, deep learning approaches, decision-making processes",4.270739583089878e-07,1.8173359928042032e-08,0.8066666666666666,increasing,,0.6301762461662292,0.0484750958589407,0.1312729930892533,logit,0.5808398841917358,1.1802233587650787e-41,1.4162680305180943e-40
37,766,Natural Language Processing for Specific Languages,"Turkish, morphological properties, corpus generation",0.1129947723237414,0.0721243227598349,0.26,no_trend,,0.690045952796936,0.0405909383998197,0.1195175412253731,logit,0.1400270490898587,0.0003869452994368,0.0007738905988737
14,707,Computer Systems,"hardware, networks, os, distributed",1.1582731218595654e-08,2.4644108975735435e-10,-0.9066666666666666,decreasing,,2.126318573951721,0.0924486336500748,0.2975806718983227,logit,-0.5203714279462524,4.6273863737146184e-46,8.329295472686312e-45
39,677,Optimization Algorithms,"traveling salesman problem, ant colony optimization, beam search",0.1210458007533893,0.0798387196458525,-0.2533333333333333,no_trend,,1.5283644199371338,0.0804402326282702,0.2449020931324604,logit,-0.1459840738900586,0.0001849074755415,0.000391568771735
30,601,IoT and Security,"IoT, violence detection, lightweight virtualization",0.000413430966614,0.0001407424567196,0.5466666666666666,increasing,,0.6245409846305847,0.0520450820525487,0.1373499552612062,logit,0.2407005445247419,1.503628594009727e-07,3.3831643365218853e-07
33,526,Management Information Systems,"decision-making, technological factors, managerial support",2.3207155059878914e-06,1.4813077697795054e-07,-0.7533333333333333,decreasing,,2.222000360488892,0.1010000163858587,0.3209834889402835,logit,-0.4368453140293289,1.1642517702845088e-25,1.047826593256058e-24
51,412,Wireless Communication Systems,"MIMO, meta materials, spectral efficiency, 5G",0.003876523386784,0.0016164569904013,-0.4533333333333333,decreasing,,1.241893649101257,0.0827929099400838,0.23456997723549,logit,-0.4366393372587315,3.8254675610322464e-20,2.7543366439432173e-19
19,410,Database Security,"data encryption, database security, ASCII code",5.910079574769078e-05,1.2574637393125698e-05,-0.6266666666666667,decreasing,,2.06341165304184,0.1146339807245466,0.3434127157024905,logit,-0.4052362986126449,6.76995733947153e-18,3.4816923460139295e-17
