topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,452,0_optimization_algorithm_algorithms_genetic,algorithm; optimization; algorithms; abc; salesman; colony; tsp; traveling salesman; heuristic; artificial; search; optimization algorithm; genetic; solution; swarm,0.5526587022243875,0.4690632682744802,-0.1066666666666666,no_trend,,0.2930671572685241,0.0225436274821941,0.0610492749367292,logit,-0.1059136108439115,0.026132812914177,0.040992647708513
1,250,1_intrusion_intrusion detection_attacks_detection,intrusion; intrusion detection; attacks; iot; detection; learning; network; machine; machine learning; security; ids; cyber; systems; attack; detection systems,0.0508737360370226,0.0265056439856756,0.32,increasing,,0.0991964340209961,0.0165327390034993,0.034378864281627,logit,0.6128685463310846,2.269268437794513e-13,1.650377045668737e-12
2,217,2_cancer_breast_segmentation_images,histopathological; cancer; images; histopathological images; breast; segmentation; breast cancer; nuclei; histopathology; cells; tissue; learning; diagnosis; slide; cell,0.0002343004624153,3.929335607044671e-05,0.59,increasing,,0.0667544603347778,0.0133508920669555,0.0259796363720309,logit,0.5974484642715113,5.634716893738133e-11,3.219838224993219e-10
3,199,3_recommendation_recommender_filtering_collaborative,recommendation; recommender; collaborative filtering; collaborative; recommender systems; filtering; recommendation systems; item; systems; user; users; items; user item; recommendations; content,0.0063100804475815,0.0023331389890217,0.4366666666666666,increasing,,0.0838007926940918,0.0209501981735229,0.037537715959614,logit,0.2039531004964778,0.0088237123438112,0.0153455866848891
4,198,4_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; analysis; turkish; lexicon; twitter; emotion; social media; data; social; texts; text; tweets; media; analysis turkish,0.0002771432517165,5.123656754424388e-05,0.5666666666666667,increasing,,0.0596935153007507,0.0149233788251876,0.0267391053229074,logit,0.5152669530686669,7.203802903487173e-09,3.2016901793276325e-08
5,198,5_customer_mining_customers_data mining,data; mining; customer; data mining; customers; churn; association; apriori; association rules; algorithm; association rule; analysis; frequent; algorithms; basket,0.2753036372092543,0.1989589310924022,-0.1866666666666666,no_trend,,0.0685380101203918,0.0342690050601959,0.0475069284761386,logit,-0.1280329016471654,0.0620063979221226,0.0918613302549965
6,196,6_video_retrieval_image_visual,image; video; retrieval; multimedia; image retrieval; mpeg; content; query; content image; images; data; multimedia data; video data; video database; cbir,0.0024337147920596,0.0008385067770961,-0.48,decreasing,,0.0130074024200439,0.0130074024200439,0.0142900921423115,logit,-0.2577188842816479,0.0001926608830389,0.0004670566861549
7,177,7_patients_disease_diagnosis_diabetes,disease; heart; learning; machine; anemia; heart disease; machine learning; data; patients; diseases; diagnosis; diabetes; algorithms; thyroid; dataset,0.1465304989207583,0.0972765497036967,0.24,no_trend,,0.0653846263885498,0.0217948754628499,0.0350774988666903,logit,0.0763715184774436,0.3266915586773534,0.4047240710506896
8,171,8_stock_price_market_financial,stock; stock market; price; market; stocks; technical analysis; trading; technical indicators; prices; financial; indicators; technical; stock price; data; learning,1.8669216373945478e-05,9.41305027257755e-07,0.7,increasing,,0.101282775402069,0.0202565550804138,0.0394174361158752,logit,0.7385198054123284,5.383705149150905e-12,3.589136766100603e-11
9,162,9_plant_agricultural_leaf_diseases,plant; diseases; leaf; agricultural; learning; deep learning; plant diseases; deep; walnut; disease; model; images; classification; models; dataset,5.4186406368561535e-06,4.5534795267698775e-08,0.7566666666666667,increasing,,0.040592610836029,0.0135308702786763,0.0217770956147294,logit,1.4305079883322658,4.557499949672676e-20,7.291999919476281e-19
10,156,10_energy_electricity_solar_consumption,electricity; energy; solar; wind; electricity consumption; solar energy; consumption; energy potential; forecasting; data; electrical energy; electrical; solar radiation; renewable; wind solar,8.455941074621169e-05,9.23758268656094e-06,0.6333333333333333,increasing,,0.0903648138046264,0.0225912034511566,0.0404780027048673,logit,0.7151737843780562,1.1703466207451294e-10,6.241848643974023e-10
11,151,11_rendering_graphics_3d_tracing,rendering; ray tracing; ray; tracing; graphics; hair; gpu; animation; simulation; computer graphics; fluid; volume; time; 3d; mesh,1.6795098196686897e-05,5.131806497526981e-07,-0.72,decreasing,,,,,logit,-0.7709254893342352,5.075171367975304e-23,2.0300685471901214e-21
12,142,12_3d_depth_shape_object,3d; shape; object; objects; point cloud; point clouds; images; reconstruction; stereo; shapes; point; depth; matching; structured light; camera,0.195742833420767,0.134881616306747,-0.2166666666666666,no_trend,,,,,logit,-0.1877475387135693,0.0221931424566231,0.035509027930597
13,139,13_sensor_sensor networks_wireless sensor_wireless,sensor; wireless sensor; sensor networks; wireless; energy; lifetime; network lifetime; sensor nodes; nodes; sink; routing; network; wsns; networks; wsn,0.0156427729875624,0.0070984011876333,-0.3866666666666666,decreasing,,,,,logit,-0.7679139850381818,9.52204311039944e-21,1.904408622079888e-19
14,137,14_protein_proteins_drug_interactions,protein; proteins; drug; amino; prediction; drugs; acids; amino acids; ligand; amino acid; molecules; drug target; binding; protein sequences; subcellular,0.7309351369648086,0.6572273920607943,-0.0666666666666666,no_trend,,,,,logit,-0.1753757056092211,0.0350770742734628,0.0539647296514812
15,134,15_blockchain_contracts_smart_technology,blockchain; blockchain technology; smart contracts; contracts; contract; smart contract; smart; bitcoin; ethereum; technology; cryptocurrencies; transactions; cryptocurrency; blockchain network; ledger,0.0002732111035392,4.821372415397818e-05,0.5566666666666666,increasing,,0.0877014398574829,0.0219253599643707,0.0392849713323949,logit,1.2542408570782655,3.115397396361502e-15,3.1153973963615024e-14
16,125,16_software_code_metrics_defect,software; defect; smells; defect prediction; bug; code; software defect; prediction; defects; projects; developers; developer; metrics; code review; code smells,0.1369422989423316,0.0874589472236739,0.2466666666666666,no_trend,,,,,logit,0.1440153940812918,0.1311995610031197,0.1778977098347386
17,123,17_cache_memory_power_hardware,cache; soft errors; memory; register file; data; register; caches; threads; thread; soft; processors; chip; sram; energy; processor,0.5014826710195659,0.4003433087971324,-0.1233333333333333,no_trend,,,,,logit,-0.2356057763781902,0.0063204025173285,0.0112362711419174
18,123,18_text_text classification_classification_documents,classification; text; text classification; data; learning; web; documents; categorization; pages; news; web pages; mining; naive bayes; machine; naive,0.106010020043513,0.0650313568334155,0.2666666666666666,no_trend,,,,,logit,0.0914955565800575,0.3288383077286853,0.4047240710506896
19,121,19_image_images_edge_image segmentation,image; images; hdr; super resolution; resolution; segmentation; color; dynamic range; edge; image segmentation; algorithm; super; edge detection; algorithms; image processing,0.071681483387272,0.0421655784631012,0.2933333333333333,increasing,,,,,logit,0.0672143520707914,0.4807546112095061,0.5573966506776883
20,120,20_speech_speech recognition_recognition_voice,speech; speech recognition; recognition; turkish; phoneme; turkish speech; speaker; syllable; asr; word; text speech; text; syllables; phonemes; recognition systems,0.5526587022243875,0.4690632682744802,-0.1066666666666666,no_trend,,,,,logit,-0.1579879918337541,0.075491142251884,0.1078444889312628
21,118,21_congestion_queue_network_5g,network; 5g; radio access; base stations; networks; energy; radio; handover; slicing; network slicing; mobile; stations; wireless; access network; cellular,0.0021602439732672,0.0007079791172892,-0.4866666666666667,decreasing,,,,,logit,-0.4142423895751556,1.6693031248647789e-06,5.564343749549262e-06
22,115,22_parallel_sparse_partitioning_matrix,sparse; matrix; sparse matrix; sparse matrices; hypergraph; partitioning; spmxv; matrix vector; parallel; multiplication; matrices; linear systems; spmv; vector multiplication; sparse triangular,0.5238811825406494,0.4270291992138066,0.1166666666666666,no_trend,,,,,logit,0.0619087506128504,0.5203240623300065,0.5781378470333406
23,110,23_social_link_networks_community,link prediction; networks; complex networks; network; link; community detection; social; community; prediction; social networks; time; nodes; complex; communities; social network,0.0564373020061891,0.0303528346924042,0.31,increasing,,,,,logit,0.0921034254779132,0.3630926887233886,0.433543508923449
24,109,24_face_face recognition_recognition_face detection,face recognition; face; recognition; images; facial; image; illumination; gabor; pca; face images; eigenfaces; face detection; faces; lzm; different,0.1266774351714193,0.0798387196458525,-0.2533333333333333,no_trend,,,,,logit,-0.3323823987452196,0.0001889498612909,0.0004670566861549
25,102,25_turkish_sentence_parsing_language,turkish; sentence; parsing; sentences; morphological; dependency parsing; syntactic; dependency; phrase; word; parser; language; noun; grammar; phrases,0.0001068844178415,1.2574637393125698e-05,-0.6266666666666667,decreasing,,,,,logit,-0.536091517050616,7.784303305207887e-09,3.2776013916664795e-08
26,99,26_privacy_sensitive_data_privacypreserving,privacy; data; privacy preserving; anonymization; preserving; genomic; ldp; sensitive; hiding; preserving data; data utility; location; utility; genomic data; information,0.3095071950199775,0.2314801710653613,0.1733333333333333,no_trend,,,,,logit,-0.0676827870763364,0.5029194484687598,0.5666698010915603
27,92,27_business_management_enterprise_planning,erp; enterprise resource; resource planning; erp software; erp systems; enterprise; business; sap; software; commerce; planning; systems; companies; information; mrp,3.1624912703864805e-05,2.126044551520323e-06,-0.68,decreasing,,,,,logit,-1.0448393932870792,2.0336598553611642e-22,5.423092947629771e-21
28,89,28_agent_agents_services_web services,agent; web services; web; services; service; agents; semantic web; semantic; composition; matchmaking; web service; service composition; multiagent; event calculus; owl,0.0003258160591947,6.297285177714329e-05,-0.57,decreasing,,,,,logit,-1.115530929730392,1.1853840871007049e-23,9.483072696805638e-22
29,88,29_android_malicious_files_detection,malware; malware detection; ransomware; malicious; malicious software; detection; analysis; dynamic analysis; software; learning; techniques; attacks; cyber; static; windows,0.0002093917805322,3.1672706299001874e-05,0.59,increasing,,,,,logit,0.5190597683908789,0.0001107751613079,0.0002858713840206
30,88,30_defects_quality control_defect_fabric,defect; defect detection; fabric; defects; quality control; detection; production; quality; images; image; steel; control; image processing; fabric defect; learning,0.0013133807481214,0.0003311043902827,0.5133333333333333,increasing,,,,,logit,0.5411467194211241,6.951865477009705e-05,0.0001986247279145
31,86,31_smart_home_control_remote,home; smart; smart home; remote control; control; remote; devices; iot; temperature; automation; home automation; sensors; systems; microcontroller; house,0.0192232345497449,0.0095308473818063,-0.3733333333333333,decreasing,,,,,logit,-0.2497475318245927,0.0128696225520262,0.0214493709200438
32,86,32_gene_genes_expression_cancer,gene; cancer; gene expression; genes; expression; biological; data; molecular; disease; breast; patients; mirna; microarray; breast cancer; pathways,0.018738199690283,0.0089754401877826,0.3633333333333333,increasing,,,,,logit,0.1523632397919001,0.1993494194869967,0.2572250574025764
33,85,33_maintenance_fault_industrial_predictive,predictive maintenance; maintenance; fault; data; fault diagnosis; learning; remaining useful; faults; predictive; useful life; condition monitoring; vibration; rul; diagnosis; motor,0.0006627044512613,0.0001559304591203,0.5333333333333333,increasing,,,,,logit,0.8353846260390618,2.561685001001497e-07,9.315218185459988e-07
34,83,34_security_information security_cyber_information,security; cyber; information security; cyber security; information; security awareness; awareness; warfare; attacks; systems; national; cybersecurity; cyber warfare; penetration; cyber attacks,0.3466090753683045,0.2621413175054403,0.1633333333333333,no_trend,,,,,logit,0.1372726653662621,0.2344296429689242,0.2976884355160942
